,playerID,BA,2B/AB,3B/AB,HR/AB,RBI/G,R/G,BB/G,SB/G,HBP/G,fantasy_ppg,starting_pitcher_hand,ppg_vs_hand,fantasy_points,wind_factor,temp,starting_p_rpip,position_2.0,position_3.0,position_4.0,position_5.0,position_6.0,position_7.0,position_8.0,position_9.0,position_10.0,position_11.0
2684,riverju01,0.2736963411120715,0.052434456928838954,0.0011524056467876692,0.03802938634399308,0.5094517958412098,0.4017013232514178,0.2391304347826087,0.01606805293005671,0.01890359168241966,0.0,R,0.0,0.0,5.0,67.0,0.552263182454503,0,0,0,0,0,1,0,0,0,0
1832,loneyja01,0.2836950029862632,0.053155484770057736,0.0041807684650607205,0.02150109496316942,0.46361746361746364,0.3659043659043659,0.2751212751212751,0.026334026334026334,0.01386001386001386,0.0,R,0.0,3.0,5.0,67.0,0.552263182454503,0,1,0,0,0,0,0,0,0,0
3223,uribeju01,0.254504138938484,0.052426554130822915,0.006979386463236488,0.03229995130660607,0.44687842278203727,0.3964950711938664,0.21248630887185105,0.02628696604600219,0.025191675794085433,0.0,R,0.0,9.0,5.0,67.0,0.552263182454503,0,0,0,1,0,0,0,0,0,0
894,ellisaj01,0.23921971252566734,0.04209445585215606,0.001540041067761807,0.022587268993839837,0.34077380952380953,0.28869047619047616,0.4166666666666667,0.002976190476190476,0.041666666666666664,0.0,R,0.0,0.0,5.0,67.0,0.552263182454503,1,0,0,0,0,0,0,0,0,0
1644,kershcl01,0.15861027190332327,0.01661631419939577,0.0015105740181268882,0.0015105740181268882,0.10164835164835165,0.12087912087912088,0.09065934065934066,0.0027472527472527475,0.01098901098901099,0.0,R,0.0,0.0,5.0,67.0,0.552263182454503,0,0,0,0,0,0,0,0,0,0
165,barmecl01,0.24494086727989486,0.05466491458607096,0.004467805519053876,0.023390275952693825,0.34991568296795955,0.36593591905564926,0.1821247892074199,0.03625632377740304,0.050590219224283306,0.0,L,0.0,0.0,5.0,67.0,0.2957565366480926,0,0,0,0,1,0,0,0,0,0
656,correke01,0.12,0.02,0.0,0.0,0.03581267217630854,0.03305785123966942,0.030303030303030304,0.0,0.0,0.0,L,0.0,3.0,5.0,67.0,0.2957565366480926,0,0,0,0,0,0,0,0,0,0
1637,kennead01,0.2718801388635118,0.0526219623606797,0.007674036177599123,0.014617211766855473,0.33767001774098165,0.4033116499112951,0.2371377882909521,0.10585452395032525,0.04257835600236547,0.0,R,0.0,3.0,5.0,67.0,0.5068702290076336,0,0,0,0,0,0,0,0,0,1
1583,jonesga02,0.25102599179206564,0.06087551299589603,0.004103967168262654,0.041723666210670314,0.43907793633369924,0.3809001097694841,0.29088913282107576,0.030735455543358946,0.007683863885839737,0.0,R,0.0,0.0,5.0,67.0,0.28144654088050314,0,0,0,0,0,0,0,0,0,1
2539,preslal01,0.2633832976445396,0.03568879371877231,0.013561741613133477,0.02069950035688794,0.24666666666666667,0.3488888888888889,0.18,0.06666666666666667,0.013333333333333334,9.2,R,9.2,3.0,8.0,58.0,0.4495463293923564,0,0,0,0,0,1,0,0,0,0
2033,mclouna01,0.24654590113601474,0.05864292293521646,0.005833589192508443,0.031010132023334358,0.3186602870813397,0.49856459330143543,0.35023923444976074,0.12727272727272726,0.05645933014354067,0.0,R,0.0,3.0,8.0,58.0,0.4495463293923564,0,0,0,0,0,0,0,1,0,0
2012,mccutan01,0.28469691950977144,0.05680688969857569,0.007949652202716132,0.04024511427625042,0.5275200989486704,0.6023500309214594,0.5225726654298083,0.11811997526283241,0.04514533085961658,3.0,R,3.0,3.0,8.0,58.0,0.4495463293923564,0,0,0,0,0,0,1,0,0,0
1174,gordode01,0.28593709383935534,0.03223290876007279,0.014036911879386535,0.004678970626462178,0.23353293413173654,0.530938123752495,0.16766467065868262,0.3323353293413174,0.031936127744510975,15.2,L,15.2,15.2,8.0,58.0,0.4932242393249808,0,0,0,0,1,0,0,0,0,0
896,ellisma01,0.26245847176079734,0.05022474105921439,0.004885675200312683,0.02051983584131327,0.3832752613240418,0.4808362369337979,0.30522648083623694,0.05714285714285714,0.05226480836236934,0.0,L,0.0,9.2,8.0,58.0,0.4932242393249808,0,0,1,0,0,0,0,0,0,0
1631,kempma01,0.2840534171249018,0.05310290652003142,0.005813040062843677,0.04509033778476041,0.5891428571428572,0.5428571428571428,0.296,0.10514285714285715,0.014857142857142857,3.5,L,3.5,15.2,8.0,58.0,0.4932242393249808,0,0,0,0,0,0,1,0,0,0
2684,riverju01,0.2736963411120715,0.052434456928838954,0.0011524056467876692,0.03802938634399308,0.5094517958412098,0.4017013232514178,0.2391304347826087,0.01606805293005671,0.01890359168241966,0.0,L,0.0,19.2,8.0,58.0,0.4932242393249808,0,1,0,0,0,0,0,0,0,0
3314,walkene01,0.26707396901592845,0.051931049530874976,0.0048003491162993675,0.03251145537857299,0.4663093415007657,0.4678407350689127,0.35222052067381315,0.02450229709035222,0.04211332312404288,0.0,R,0.0,0.0,8.0,58.0,0.4495463293923564,0,0,1,0,0,0,0,0,0,0
1583,jonesga02,0.25102599179206564,0.06087551299589603,0.004103967168262654,0.041723666210670314,0.43907793633369924,0.3809001097694841,0.29088913282107576,0.030735455543358946,0.007683863885839737,0.0,R,0.0,9.0,8.0,58.0,0.4495463293923564,0,1,0,0,0,0,0,0,0,0
157,barajro01,0.23468208092485549,0.054046242774566475,0.00028901734104046245,0.03930635838150289,0.43087971274685816,0.35547576301615796,0.18581687612208259,0.0017953321364452424,0.04129263913824058,0.0,R,0.0,0.0,8.0,58.0,0.4495463293923564,1,0,0,0,0,0,0,0,0,0
64,alvarpe01,0.23624161073825503,0.04395973154362416,0.0020134228187919465,0.05436241610738255,0.5186813186813187,0.4010989010989011,0.34505494505494505,0.016483516483516484,0.012087912087912088,0.0,R,0.0,0.0,8.0,58.0,0.4495463293923564,0,0,0,1,0,0,0,0,0,0
925,ethiean01,0.28479166666666667,0.063125,0.007083333333333333,0.03375,0.47216494845360824,0.44054982817869415,0.35670103092783506,0.01993127147766323,0.03986254295532646,21.7,L,21.7,9.5,8.0,58.0,0.4932242393249808,0,0,0,0,0,0,0,1,0,0
1260,hairsje02,0.25666742648734897,0.053111465694096194,0.00501481650330522,0.015956234328698426,0.2912621359223301,0.40221914008321774,0.25866851595006934,0.10194174757281553,0.05825242718446602,0.0,L,0.0,3.0,8.0,58.0,0.4932242393249808,0,0,0,0,0,1,0,0,0,0
3223,uribeju01,0.254504138938484,0.052426554130822915,0.006979386463236488,0.03229995130660607,0.44687842278203727,0.3964950711938664,0.21248630887185105,0.02628696604600219,0.025191675794085433,9.0,L,9.0,0.0,8.0,58.0,0.4932242393249808,0,0,0,1,0,0,0,0,0,0
894,ellisaj01,0.23921971252566734,0.04209445585215606,0.001540041067761807,0.022587268993839837,0.34077380952380953,0.28869047619047616,0.4166666666666667,0.002976190476190476,0.041666666666666664,0.0,L,0.0,0.0,8.0,58.0,0.4932242393249808,1,0,0,0,0,0,0,0,0,0
165,barmecl01,0.24494086727989486,0.05466491458607096,0.004467805519053876,0.023390275952693825,0.34991568296795955,0.36593591905564926,0.1821247892074199,0.03625632377740304,0.050590219224283306,0.0,R,0.0,18.7,8.0,58.0,0.4495463293923564,0,0,0,0,1,0,0,0,0,0
273,billich01,0.13802816901408452,0.022535211267605635,0.0,0.008450704225352112,0.09292035398230089,0.061946902654867256,0.084070796460177,0.0,0.004424778761061947,0.0,L,0.0,0.0,8.0,58.0,0.4932242393249808,0,0,0,0,0,0,0,0,0,0
1832,loneyja01,0.2836950029862632,0.053155484770057736,0.0041807684650607205,0.02150109496316942,0.46361746361746364,0.3659043659043659,0.2751212751212751,0.026334026334026334,0.01386001386001386,3.0,L,3.0,0.0,8.0,58.0,0.3316412859560068,0,0,0,0,0,0,0,0,0,1
1256,gwynnto02,0.238125,0.03,0.014375,0.004375,0.14306569343065692,0.28029197080291973,0.23503649635036497,0.11678832116788321,0.008759124087591242,0.0,R,0.0,6.5,8.0,58.0,0.45918367346938777,0,0,0,0,0,0,0,0,0,1
2892,selleju01,0.1984126984126984,0.051587301587301584,0.003968253968253968,0.011904761904761904,0.1717171717171717,0.3333333333333333,0.25252525252525254,0.010101010101010102,0.04040404040404041,0.0,R,0.0,0.0,8.0,58.0,0.45918367346938777,0,0,0,0,0,0,0,0,0,1
2220,navarya01,0.20555555555555555,0.016666666666666666,0.005555555555555556,0.011111111111111112,0.25316455696202533,0.24050632911392406,0.17721518987341772,0.0,0.0,0.0,R,0.0,0.0,8.0,58.0,0.28144654088050314,0,0,0,0,0,0,0,0,0,1
3083,tabatjo01,0.2751256281407035,0.05087939698492462,0.009422110552763818,0.010678391959798994,0.2475442043222004,0.4086444007858546,0.25343811394891946,0.09233791748526522,0.03929273084479371,0.0,L,0.0,6.0,0.0,57.0,0.5287945908137095,0,0,0,0,0,0,0,1,0,0
1312,harrijo05,0.2727272727272727,0.05427905427905428,0.009324009324009324,0.018648018648018648,0.3194291986827662,0.42151481888035125,0.14489571899012074,0.08781558726673985,0.06586169045005488,0.0,L,0.0,0.0,0.0,57.0,0.5287945908137095,0,0,1,0,0,0,0,0,0,0
2012,mccutan01,0.28469691950977144,0.05680688969857569,0.007949652202716132,0.04024511427625042,0.5275200989486704,0.6023500309214594,0.5225726654298083,0.11811997526283241,0.04514533085961658,3.0,L,3.0,18.2,0.0,57.0,0.5287945908137095,0,0,0,0,0,0,1,0,0,0
2021,mcgehca01,0.2576840600428878,0.05039313795568263,0.002144388849177984,0.02394567548248749,0.4470588235294118,0.3352941176470588,0.29294117647058826,0.00823529411764706,0.009411764705882352,9.0,L,9.0,6.0,0.0,57.0,0.5287945908137095,0,1,0,0,0,0,0,0,0,0
2220,navarya01,0.20555555555555555,0.016666666666666666,0.005555555555555556,0.011111111111111112,0.25316455696202533,0.24050632911392406,0.17721518987341772,0.0,0.0,0.0,L,0.0,3.5,0.0,57.0,0.5287945908137095,0,0,0,0,0,1,0,0,0,0
1174,gordode01,0.28593709383935534,0.03223290876007279,0.014036911879386535,0.004678970626462178,0.23353293413173654,0.530938123752495,0.16766467065868262,0.3323353293413174,0.031936127744510975,15.2,R,15.2,0.0,0.0,57.0,0.5419245920090039,0,0,0,0,1,0,0,0,0,0
896,ellisma01,0.26245847176079734,0.05022474105921439,0.004885675200312683,0.02051983584131327,0.3832752613240418,0.4808362369337979,0.30522648083623694,0.05714285714285714,0.05226480836236934,4.6,R,0.0,9.2,0.0,57.0,0.5419245920090039,0,0,1,0,0,0,0,0,0,0
1631,kempma01,0.2840534171249018,0.05310290652003142,0.005813040062843677,0.04509033778476041,0.5891428571428572,0.5428571428571428,0.296,0.10514285714285715,0.014857142857142857,9.35,R,3.5,12.2,0.0,57.0,0.5419245920090039,0,0,0,0,0,0,1,0,0,0
925,ethiean01,0.28479166666666667,0.063125,0.007083333333333333,0.03375,0.47216494845360824,0.44054982817869415,0.35670103092783506,0.01993127147766323,0.03986254295532646,15.6,R,21.7,6.2,0.0,57.0,0.5419245920090039,0,0,0,0,0,0,0,1,0,0
2684,riverju01,0.2736963411120715,0.052434456928838954,0.0011524056467876692,0.03802938634399308,0.5094517958412098,0.4017013232514178,0.2391304347826087,0.01606805293005671,0.01890359168241966,9.6,R,0.0,3.5,0.0,57.0,0.5419245920090039,0,0,0,0,0,1,0,0,0,0
1832,loneyja01,0.2836950029862632,0.053155484770057736,0.0041807684650607205,0.02150109496316942,0.46361746361746364,0.3659043659043659,0.2751212751212751,0.026334026334026334,0.01386001386001386,1.5,R,3.0,6.5,0.0,57.0,0.5419245920090039,0,1,0,0,0,0,0,0,0,0
3223,uribeju01,0.254504138938484,0.052426554130822915,0.006979386463236488,0.03229995130660607,0.44687842278203727,0.3964950711938664,0.21248630887185105,0.02628696604600219,0.025191675794085433,4.5,R,9.0,9.5,0.0,57.0,0.5419245920090039,0,0,0,1,0,0,0,0,0,0
894,ellisaj01,0.23921971252566734,0.04209445585215606,0.001540041067761807,0.022587268993839837,0.34077380952380953,0.28869047619047616,0.4166666666666667,0.002976190476190476,0.041666666666666664,0.0,R,0.0,3.0,0.0,57.0,0.5419245920090039,1,0,0,0,0,0,0,0,0,0
165,barmecl01,0.24494086727989486,0.05466491458607096,0.004467805519053876,0.023390275952693825,0.34991568296795955,0.36593591905564926,0.1821247892074199,0.03625632377740304,0.050590219224283306,9.35,L,0.0,3.0,0.0,57.0,0.5287945908137095,0,0,0,0,1,0,0,0,0,0
64,alvarpe01,0.23624161073825503,0.04395973154362416,0.0020134228187919465,0.05436241610738255,0.5186813186813187,0.4010989010989011,0.34505494505494505,0.016483516483516484,0.012087912087912088,0.0,L,0.0,0.0,0.0,57.0,0.5287945908137095,0,0,0,1,0,0,0,0,0,0
2029,mckenmi01,0.23837902264600716,0.057210965435041714,0.003575685339690107,0.03456495828367104,0.3311897106109325,0.3022508038585209,0.2990353697749196,0.006430868167202572,0.02572347266881029,0.0,L,0.0,21.7,0.0,57.0,0.5287945908137095,1,0,0,0,0,0,0,0,0,0
488,capuach01,0.12398921832884097,0.026954177897574125,0.0,0.0026954177897574125,0.06230529595015576,0.04984423676012461,0.03115264797507788,0.0,0.003115264797507788,0.0,R,0.0,3.0,0.0,57.0,0.5419245920090039,0,0,0,0,0,0,0,0,0,0
1619,karstje01,0.0896551724137931,0.006896551724137931,0.0,0.0,0.028985507246376812,0.07246376811594203,0.057971014492753624,0.0,0.007246376811594203,0.0,L,0.0,0.0,0.0,57.0,0.5287945908137095,0,0,0,0,0,0,0,0,0,0
1637,kennead01,0.2718801388635118,0.0526219623606797,0.007674036177599123,0.014617211766855473,0.33767001774098165,0.4033116499112951,0.2371377882909521,0.10585452395032525,0.04257835600236547,3.0,R,3.0,0.0,0.0,57.0,0.5342465753424658,0,0,0,0,0,0,0,0,0,1
3314,walkene01,0.26707396901592845,0.051931049530874976,0.0048003491162993675,0.03251145537857299,0.4663093415007657,0.4678407350689127,0.35222052067381315,0.02450229709035222,0.04211332312404288,0.0,R,0.0,0.0,0.0,57.0,0.4991334488734835,0,0,0,0,0,0,0,0,0,1
2539,preslal01,0.2633832976445396,0.03568879371877231,0.013561741613133477,0.02069950035688794,0.24666666666666667,0.3488888888888889,0.18,0.06666666666666667,0.013333333333333334,6.1,R,3.0,0.0,0.0,57.0,0.42215088282504015,0,0,0,0,0,1,0,0,0,0
2033,mclouna01,0.24654590113601474,0.05864292293521646,0.005833589192508443,0.031010132023334358,0.3186602870813397,0.49856459330143543,0.35023923444976074,0.12727272727272726,0.05645933014354067,3.0,R,3.0,0.0,0.0,57.0,0.44157303370786516,0,0,0,0,0,0,0,0,0,1
157,barajro01,0.23468208092485549,0.054046242774566475,0.00028901734104046245,0.03930635838150289,0.43087971274685816,0.35547576301615796,0.18581687612208259,0.0017953321364452424,0.04129263913824058,0.0,R,0.0,0.0,0.0,57.0,0.44157303370786516,0,0,0,0,0,0,0,0,0,1
1992,maybica01,0.256059009483667,0.045574288724973655,0.008956796628029505,0.018967334035827187,0.3070251517779705,0.48048568950563747,0.3165654813529922,0.16131830008673026,0.020815264527320035,0.0,R,0.0,12.0,1.0,54.0,0.5068906115417743,0,0,0,0,0,0,1,0,0,0
3270,venabwi01,0.2492947813822285,0.04160789844851904,0.013751763046544428,0.028561354019746122,0.31747673216132366,0.390899689762151,0.2626680455015512,0.13960703205791106,0.02688728024819028,0.0,R,0.0,18.7,1.0,54.0,0.5068906115417743,0,0,0,0,0,1,0,0,0,0
1334,headlch01,0.2627751572327044,0.05345911949685535,0.0031446540880503146,0.025550314465408806,0.415041782729805,0.4435933147632312,0.3997214484679666,0.06476323119777158,0.04247910863509749,0.0,R,0.0,31.9,1.0,54.0,0.5068906115417743,0,0,0,1,0,0,0,0,0,0
59,alonsyo01,0.2593694229625223,0.05383700178465199,0.000594883997620464,0.0297441998810232,0.39738805970149255,0.36473880597014924,0.3414179104477612,0.020522388059701493,0.014925373134328358,0.0,R,0.0,18.7,1.0,54.0,0.5068906115417743,0,1,0,0,0,0,0,0,0,0
1256,gwynnto02,0.238125,0.03,0.014375,0.004375,0.14306569343065692,0.28029197080291973,0.23503649635036497,0.11678832116788321,0.008759124087591242,6.5,L,6.5,9.7,1.0,54.0,0.5534509600415153,0,0,0,0,0,1,0,0,0,0
896,ellisma01,0.26245847176079734,0.05022474105921439,0.004885675200312683,0.02051983584131327,0.3832752613240418,0.4808362369337979,0.30522648083623694,0.05714285714285714,0.05226480836236934,6.133333333333333,L,9.2,25.4,1.0,54.0,0.5534509600415153,0,0,1,0,0,0,0,0,0,0
1631,kempma01,0.2840534171249018,0.05310290652003142,0.005813040062843677,0.04509033778476041,0.5891428571428572,0.5428571428571428,0.296,0.10514285714285715,0.014857142857142857,10.299999999999999,L,15.2,34.4,1.0,54.0,0.5534509600415153,0,0,0,0,0,0,1,0,0,0
1362,hermije01,0.25695825049701787,0.05168986083499006,0.0044731610337972166,0.03230616302186879,0.39556962025316456,0.3924050632911392,0.34177215189873417,0.03481012658227848,0.03322784810126582,0.0,R,0.0,6.0,1.0,54.0,0.5068906115417743,0,0,0,0,0,0,0,1,0,0
1467,hudsoor01,0.2733678756476684,0.05305699481865285,0.013678756476683937,0.01927461139896373,0.4029739776951673,0.4817843866171004,0.3591078066914498,0.06319702602230483,0.022304832713754646,0.0,R,0.0,3.5,1.0,54.0,0.5068906115417743,0,0,1,0,0,0,0,0,0,0
148,bakerjo01,0.24721189591078066,0.05297397769516728,0.0009293680297397769,0.013011152416356878,0.3342618384401114,0.34540389972144847,0.35376044568245124,0.005571030640668524,0.027855153203342618,0.0,R,0.0,12.2,1.0,54.0,0.5068906115417743,1,0,0,0,0,0,0,0,0,0
2684,riverju01,0.2736963411120715,0.052434456928838954,0.0011524056467876692,0.03802938634399308,0.5094517958412098,0.4017013232514178,0.2391304347826087,0.01606805293005671,0.01890359168241966,7.566666666666666,L,19.2,3.0,1.0,54.0,0.5534509600415153,0,1,0,0,0,0,0,0,0,0
925,ethiean01,0.28479166666666667,0.063125,0.007083333333333333,0.03375,0.47216494845360824,0.44054982817869415,0.35670103092783506,0.01993127147766323,0.03986254295532646,12.466666666666667,L,9.5,19.5,1.0,54.0,0.5534509600415153,0,0,0,0,0,0,0,1,0,0
3223,uribeju01,0.254504138938484,0.052426554130822915,0.006979386463236488,0.03229995130660607,0.44687842278203727,0.3964950711938664,0.21248630887185105,0.02628696604600219,0.025191675794085433,6.166666666666667,L,0.0,0.0,1.0,54.0,0.5534509600415153,0,0,0,1,0,0,0,0,0,0
179,bartlja01,0.2702960840496657,0.049665711556829036,0.008277618592804839,0.009869468322190385,0.32062780269058294,0.4876681614349776,0.30829596412556054,0.13789237668161436,0.053811659192825115,0.0,R,0.0,6.2,1.0,54.0,0.5068906115417743,0,0,0,0,1,0,0,0,0,0
2662,richacl01,0.11384615384615385,0.03076923076923077,0.0,0.009230769230769232,0.09824561403508772,0.06666666666666667,0.028070175438596492,0.0,0.014035087719298246,0.0,R,0.0,0.0,1.0,54.0,0.5068906115417743,0,0,0,0,0,0,0,0,0,0
2892,selleju01,0.1984126984126984,0.051587301587301584,0.003968253968253968,0.011904761904761904,0.1717171717171717,0.3333333333333333,0.25252525252525254,0.010101010101010102,0.04040404040404041,0.0,L,0.0,18.4,1.0,54.0,0.5534509600415153,0,0,0,0,1,0,0,0,0,0
894,ellisaj01,0.23921971252566734,0.04209445585215606,0.001540041067761807,0.022587268993839837,0.34077380952380953,0.28869047619047616,0.4166666666666667,0.002976190476190476,0.041666666666666664,1.0,L,0.0,15.9,1.0,54.0,0.5534509600415153,1,0,0,0,0,0,0,0,0,0
1297,haranaa01,0.09701492537313433,0.011940298507462687,0.0,0.0014925373134328358,0.05412371134020619,0.041237113402061855,0.01288659793814433,0.0,0.005154639175257732,0.0,L,0.0,0.0,1.0,54.0,0.5534509600415153,0,0,0,0,0,0,0,0,0,0
777,denorch01,0.27150786308973174,0.04764107308048104,0.00786308973172988,0.018963922294172063,0.24257425742574257,0.35767326732673266,0.23143564356435645,0.06930693069306931,0.011138613861386138,0.0,R,0.0,18.9,1.0,54.0,0.5015197568389057,0,0,0,0,0,0,0,0,0,1
1251,guzmaje01,0.24726911618669314,0.0605759682224429,0.003972194637537239,0.024826216484607744,0.337468982630273,0.2679900744416873,0.24069478908188585,0.04466501240694789,0.01240694789081886,0.0,L,0.0,6.5,1.0,54.0,0.3931034482758621,0,0,0,0,0,0,0,0,0,1
2393,parrian01,0.17479674796747968,0.044715447154471545,0.0,0.008130081300813009,0.10687022900763359,0.1450381679389313,0.25190839694656486,0.015267175572519083,0.030534351145038167,0.0,R,0.0,0.0,1.0,54.0,0.28144654088050314,0,0,0,0,0,0,0,0,0,1
286,blankky01,0.24062877871825877,0.05078597339782346,0.0024183796856106408,0.03990326481257558,0.39928057553956836,0.39568345323741005,0.29856115107913667,0.02158273381294964,0.06474820143884892,0.0,R,0.0,0.0,1.0,54.0,0.28144654088050314,0,0,0,0,0,0,0,0,0,1
1174,gordode01,0.28593709383935534,0.03223290876007279,0.014036911879386535,0.004678970626462178,0.23353293413173654,0.530938123752495,0.16766467065868262,0.3323353293413174,0.031936127744510975,10.133333333333333,R,7.6,0.0,1.0,54.0,0.5150501672240803,0,0,0,0,0,0,0,0,0,1
1832,loneyja01,0.2836950029862632,0.053155484770057736,0.0041807684650607205,0.02150109496316942,0.46361746361746364,0.3659043659043659,0.2751212751212751,0.026334026334026334,0.01386001386001386,3.1666666666666665,R,4.75,3.0,1.0,54.0,0.5150501672240803,0,1,0,0,0,0,0,0,0,0
1992,maybica01,0.256059009483667,0.045574288724973655,0.008956796628029505,0.018967334035827187,0.3070251517779705,0.48048568950563747,0.3165654813529922,0.16131830008673026,0.020815264527320035,12.0,L,12.0,3.2,1.0,57.0,0.4912575655682582,0,0,0,0,0,0,1,0,0,0
777,denorch01,0.27150786308973174,0.04764107308048104,0.00786308973172988,0.018963922294172063,0.24257425742574257,0.35767326732673266,0.23143564356435645,0.06930693069306931,0.011138613861386138,18.9,L,18.9,0.0,1.0,57.0,0.4912575655682582,0,0,0,0,0,0,0,1,0,0
1334,headlch01,0.2627751572327044,0.05345911949685535,0.0031446540880503146,0.025550314465408806,0.415041782729805,0.4435933147632312,0.3997214484679666,0.06476323119777158,0.04247910863509749,31.9,L,31.9,6.0,1.0,57.0,0.4912575655682582,0,0,0,1,0,0,0,0,0,0
1251,guzmaje01,0.24726911618669314,0.0605759682224429,0.003972194637537239,0.024826216484607744,0.337468982630273,0.2679900744416873,0.24069478908188585,0.04466501240694789,0.01240694789081886,6.5,L,6.5,6.5,1.0,57.0,0.4912575655682582,0,0,0,0,0,1,0,0,0,0
59,alonsyo01,0.2593694229625223,0.05383700178465199,0.000594883997620464,0.0297441998810232,0.39738805970149255,0.36473880597014924,0.3414179104477612,0.020522388059701493,0.014925373134328358,18.7,L,18.7,0.0,1.0,57.0,0.4912575655682582,0,1,0,0,0,0,0,0,0,0
1174,gordode01,0.28593709383935534,0.03223290876007279,0.014036911879386535,0.004678970626462178,0.23353293413173654,0.530938123752495,0.16766467065868262,0.3323353293413174,0.031936127744510975,7.6,R,5.066666666666666,6.2,1.0,57.0,0.7405063291139241,0,0,0,0,1,0,0,0,0,0
1256,gwynnto02,0.238125,0.03,0.014375,0.004375,0.14306569343065692,0.28029197080291973,0.23503649635036497,0.11678832116788321,0.008759124087591242,8.1,R,6.5,6.2,1.0,57.0,0.7405063291139241,0,0,0,0,0,1,0,0,0,0
1631,kempma01,0.2840534171249018,0.05310290652003142,0.005813040062843677,0.04509033778476041,0.5891428571428572,0.5428571428571428,0.296,0.10514285714285715,0.014857142857142857,16.325,R,7.85,47.4,1.0,57.0,0.7405063291139241,0,0,0,0,0,0,1,0,0,0
925,ethiean01,0.28479166666666667,0.063125,0.007083333333333333,0.03375,0.47216494845360824,0.44054982817869415,0.35670103092783506,0.01993127147766323,0.03986254295532646,14.225,R,13.95,18.7,1.0,57.0,0.7405063291139241,0,0,0,0,0,0,0,1,0,0
1832,loneyja01,0.2836950029862632,0.053155484770057736,0.0041807684650607205,0.02150109496316942,0.46361746361746364,0.3659043659043659,0.2751212751212751,0.026334026334026334,0.01386001386001386,3.125,R,4.166666666666667,12.2,1.0,57.0,0.7405063291139241,0,1,0,0,0,0,0,0,0,0
1260,hairsje02,0.25666742648734897,0.053111465694096194,0.00501481650330522,0.015956234328698426,0.2912621359223301,0.40221914008321774,0.25866851595006934,0.10194174757281553,0.05825242718446602,3.0,R,3.0,6.0,1.0,57.0,0.7405063291139241,0,0,1,0,0,0,0,0,0,0
